[Antithetic Variates]-> 1st premium=31.6047]
[Antithetic Variates]-> 1st premium=69.1497]
[Antithetic Variates]-> 1st premium=92.3015]
[Antithetic Variates]-> 1st premium=118.171]
[Antithetic Variates]-> 1st premium=134.673]
[Antithetic Variates]-> 1st premium=155.473]
[Antithetic Variates]-> 1st premium=170.487]
[Antithetic Variates]-> 1st premium=194.973]
[Antithetic Variates]-> 1st premium=230.58]
[Antithetic Variates]-> 1st premium=245.058]
[Antithetic Variates]-> 1st premium=259.185]
[Antithetic Variates]-> 1st premium=290.499]
[Antithetic Variates]-> 1st premium=306.964]
[Antithetic Variates]-> 1st premium=331.731]
[Antithetic Variates]-> 1st premium=346.796]
[Antithetic Variates]-> 1st premium=360.343]
[Antithetic Variates]-> 1st premium=376.712]
[Antithetic Variates]-> 1st premium=400.08]
[Antithetic Variates]-> 1st premium=417.07]
[Antithetic Variates]-> 1st premium=435.013]
[Antithetic Variates]-> 1st premium=461.705]
[Antithetic Variates]-> 1st premium=475.642]
[Antithetic Variates]-> 1st premium=494.06]
[Antithetic Variates]-> 1st premium=513.843]
[Antithetic Variates]-> 1st premium=527.623]
[Antithetic Variates]-> 1st premium=559.428]
[Antithetic Variates]-> 1st premium=572.953]
[Antithetic Variates]-> 1st premium=597.617]
[Antithetic Variates]-> 1st premium=622.09]
[Antithetic Variates]-> 1st premium=638.677]
[Antithetic Variates]-> 1st premium=663.309]
[Antithetic Variates]-> 1st premium=679.401]
[Antithetic Variates]-> 1st premium=704.647]
[Antithetic Variates]-> 1st premium=719.484]
[Antithetic Variates]-> 1st premium=733.11]
[Antithetic Variates]-> 1st premium=761.421]
[Antithetic Variates]-> 1st premium=791.978]
[Antithetic Variates]-> 1st premium=813.235]
[Antithetic Variates]-> 1st premium=834.896]
[Antithetic Variates]-> 1st premium=857.336]
[Antithetic Variates]-> 1st premium=881.301]
[Antithetic Variates]-> 1st premium=897.975]
[Antithetic Variates]-> 1st premium=912.587]
[Antithetic Variates]-> 1st premium=934.819]
[Antithetic Variates]-> 1st premium=960.677]
[Antithetic Variates]-> 1st premium=979.477]
[Antithetic Variates]-> 1st premium=1005.4]
[Antithetic Variates]-> 1st premium=1018.94]
[Antithetic Variates]-> 1st premium=1038.35]
[Antithetic Variates]-> 1st premium=1054.16]
[Antithetic Variates]-> 1st premium=1079]
[Antithetic Variates]-> 1st premium=1095.21]
[Antithetic Variates]-> 1st premium=1111.1]
[Antithetic Variates]-> 1st premium=1130.08]
[Antithetic Variates]-> 1st premium=1144.29]
[Antithetic Variates]-> 1st premium=1160.16]
[Antithetic Variates]-> 1st premium=1173.51]
