[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.273904 0.692404 -0.569768 -1.5051 99.8846 137.872 1st prem=0 ;2nd prem=31.0069]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.0370495 0.37611 -1.82797 1.80265 69.9753 196.802 1st prem=0 ;2nd prem=79.2548]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.219764 0.666463 -0.872329 -1.50647 91.6923 150.19 1st prem=0 ;2nd prem=41.0922]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.213141 0.953459 1.68365 -0.506871 188.93 72.8907 1st prem=72.8101 ;2nd prem=0]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.969756 0.574114 -0.221444 -0.111283 110.226 124.936 1st prem=8.37267 ;2nd prem=20.4161]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.207129 0.252327 -0.0259443 1.7743 116.493 118.215 1st prem=13.5034 ;2nd prem=14.9135]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.935789 0.972869 0.359041 -0.0618052 129.894 106.019 1st prem=24.4755 ;2nd prem=4.92791]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.466201 0.0722678 1.11024 0.541893 160.644 85.7252 1st prem=49.6514 ;2nd prem=0]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.795831 0.0987884 0.54976 0.393065 137.094 100.451 1st prem=30.3699 ;2nd prem=0.369614]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.971862 0.898953 0.192363 -0.141702 123.913 111.137 1st prem=19.5782 ;2nd prem=9.11803]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.302561 0.56563 -1.41665 -0.619711 78.6085 175.188 1st prem=0 ;2nd prem=61.5588]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.768395 0.443648 -0.680853 0.251678 96.7951 142.273 1st prem=0 ;2nd prem=34.6098]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.289315 0.471511 -1.54979 0.280416 75.7035 181.911 1st prem=0 ;2nd prem=67.0629]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.266762 0.856899 1.01164 -1.27255 156.226 88.1497 1st prem=46.034 ;2nd prem=0]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.65453 0.570788 -0.831117 -0.39613 92.7674 148.45 1st prem=0 ;2nd prem=39.6672]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.354961 0.52205 -1.42548 -0.198762 78.4125 175.626 1st prem=0 ;2nd prem=61.9173]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.606067 0.666036 -0.503813 -0.864698 101.765 135.324 1st prem=1.44541 ;2nd prem=28.9206]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.846461 0.83517 0.294446 -0.496672 127.543 107.974 1st prem=22.5501 ;2nd prem=6.52838]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.946623 0.877255 0.237504 -0.230869 125.505 109.727 1st prem=20.8818 ;2nd prem=7.96366]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.297647 0.877438 1.11757 -1.08385 160.978 85.5477 1st prem=49.9244 ;2nd prem=0]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.68096 0.944273 0.823453 -0.300716 148.128 92.9687 1st prem=39.404 ;2nd prem=0]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.725852 0.386608 -0.605791 0.523292 98.872 139.284 1st prem=0 ;2nd prem=32.1629]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.727256 0.218604 0.156418 0.782615 122.659 112.272 1st prem=18.552 ;2nd prem=10.0478]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.258705 0.933317 1.50219 -0.669001 179.478 76.7296 1st prem=65.0711 ;2nd prem=0]
[Antithetic Variates][U1-U2-Z1-Z2-S1-S2]:[0.0127873 0.500931 -2.95268 -0.0172689 50.9083 270.511 1st prem=0 ;2nd prem=139.603]
